,ID,Assay,estimate,.y.,group1,group2,n1,n2,statistic,p,conf.low,conf.high,method,alternative,p.signif,Adjusted_pval
95,95,CORO1A,0.1061,NPX,Day 1 1h,Day 1 6h,14,14,101,0.91,-0.5943,1.0368,Wilcoxon,two.sided,ns,0.995354108
96,96,CPA1,0.02015,NPX,Day 1 1h,Day 1 6h,14,14,101,0.91,-0.4917,0.4838,Wilcoxon,two.sided,ns,0.995354108
111,111,CXCL16,0.0173,NPX,Day 1 1h,Day 1 6h,14,14,101,0.91,-0.324,0.3501,Wilcoxon,two.sided,ns,0.995354108
288,288,REG1A,0.0343,NPX,Day 1 1h,Day 1 6h,14,14,101,0.91,-0.3939,0.4218,Wilcoxon,two.sided,ns,0.995354108
328,328,TCN2,-0.02685,NPX,Day 1 1h,Day 1 6h,14,14,95,0.91,-0.3642,0.3778,Wilcoxon,two.sided,ns,0.995354108
12,12,ADGRG2,-0.0152,NPX,Day 1 1h,Day 1 6h,13,13,82,0.92,-0.3255,0.2951,Wilcoxon,two.sided,ns,0.995354108
15,15,AHCY,0.0715,NPX,Day 1 1h,Day 1 6h,13,13,87,0.92,-0.7453,1.0908,Wilcoxon,two.sided,ns,0.995354108
16,16,AK1,0.0824,NPX,Day 1 1h,Day 1 6h,13,13,87,0.92,-0.9649,1.198,Wilcoxon,two.sided,ns,0.995354108
57,57,CD2AP,0.1232,NPX,Day 1 1h,Day 1 6h,13,13,87,0.92,-1.0256,1.2809,Wilcoxon,two.sided,ns,0.995354108
122,122,DOK2,-0.0509,NPX,Day 1 1h,Day 1 6h,13,13,82,0.92,-0.9283,0.7046,Wilcoxon,two.sided,ns,0.995354108
124,124,DPP7,0.0691,NPX,Day 1 1h,Day 1 6h,13,13,87,0.92,-0.7893,0.5611,Wilcoxon,two.sided,ns,0.995354108
217,217,LPL,0.0341,NPX,Day 1 1h,Day 1 6h,13,13,87,0.92,-0.6751,0.5029,Wilcoxon,two.sided,ns,0.995354108
220,220,MARCO,-0.0082,NPX,Day 1 1h,Day 1 6h,13,13,82,0.92,-0.2204,0.1826,Wilcoxon,two.sided,ns,0.995354108
255,255,PDCD6,0.0277,NPX,Day 1 1h,Day 1 6h,13,13,87,0.92,-0.4752,0.5855,Wilcoxon,two.sided,ns,0.995354108
270,270,PM20D1,0.1897,NPX,Day 1 1h,Day 1 6h,13,13,87,0.92,-2.085,2.53,Wilcoxon,two.sided,ns,0.995354108
275,275,PRKAR1A,-0.0649,NPX,Day 1 1h,Day 1 6h,13,13,82,0.92,-1.2493,1.8189,Wilcoxon,two.sided,ns,0.995354108
300,300,SDC4,-0.0356,NPX,Day 1 1h,Day 1 6h,13,13,82,0.92,-1.0107,0.9572,Wilcoxon,two.sided,ns,0.995354108
314,314,SNX9,0.0114,NPX,Day 1 1h,Day 1 6h,13,13,87,0.92,-0.5509,1.1634,Wilcoxon,two.sided,ns,0.995354108
114,114,DCN,0.01995,NPX,Day 1 1h,Day 1 6h,13,14,93,0.943,-0.2664,0.2591,Wilcoxon,two.sided,ns,0.995354108
164,164,GPR37,0.0564,NPX,Day 1 1h,Day 1 6h,13,14,93,0.943,-0.5463,0.701,Wilcoxon,two.sided,ns,0.995354108
345,345,TNF,0.05645,NPX,Day 1 1h,Day 1 6h,13,14,93,0.943,-0.9305,1.2476,Wilcoxon,two.sided,ns,0.995354108
31,31,AZU1,0.0338,NPX,Day 1 1h,Day 1 6h,14,14,100,0.946,-0.9923,1.0415,Wilcoxon,two.sided,ns,0.995354108
41,41,CA4,0.0111,NPX,Day 1 1h,Day 1 6h,14,14,100,0.946,-0.1585,0.1995,Wilcoxon,two.sided,ns,0.995354108
184,184,IGFBP2,-0.05315,NPX,Day 1 1h,Day 1 6h,14,14,96,0.946,-0.4857,0.5679,Wilcoxon,two.sided,ns,0.995354108
279,279,PRTN3,0.00745,NPX,Day 1 1h,Day 1 6h,14,14,100,0.946,-0.3202,0.6786,Wilcoxon,two.sided,ns,0.995354108
320,320,SPP1,0.0121,NPX,Day 1 1h,Day 1 6h,14,14,100,0.946,-0.2684,0.2949,Wilcoxon,two.sided,ns,0.995354108
43,43,CANT1,-0.0164,NPX,Day 1 1h,Day 1 6h,13,13,83,0.96,-0.2666,0.2093,Wilcoxon,two.sided,ns,0.995354108
67,67,CDH6,-0.0311,NPX,Day 1 1h,Day 1 6h,13,13,83,0.96,-0.4185,0.517,Wilcoxon,two.sided,ns,0.995354108
150,150,FCRL1,-0.0118,NPX,Day 1 1h,Day 1 6h,13,13,83,0.96,-0.4955,0.4833,Wilcoxon,two.sided,ns,0.995354108
196,196,IL6ST,-0.0084,NPX,Day 1 1h,Day 1 6h,13,13,83,0.96,-0.2279,0.2471,Wilcoxon,two.sided,ns,0.995354108
303,303,SEMA3F,0.0076,NPX,Day 1 1h,Day 1 6h,13,13,86,0.96,-0.3772,0.4013,Wilcoxon,two.sided,ns,0.995354108
310,310,SIGLEC7,0.0043,NPX,Day 1 1h,Day 1 6h,13,13,86,0.96,-0.2349,0.2733,Wilcoxon,two.sided,ns,0.995354108
317,317,SOST,0.0467,NPX,Day 1 1h,Day 1 6h,13,13,86,0.96,-0.394,0.4423,Wilcoxon,two.sided,ns,0.995354108
69,69,CEACAM8,0.0086,NPX,Day 1 1h,Day 1 6h,13,14,92,0.981,-0.7278,0.888,Wilcoxon,two.sided,ns,1
171,171,HEBP1,0.07135,NPX,Day 1 1h,Day 1 6h,13,14,92,0.981,-0.8571,1.0643,Wilcoxon,two.sided,ns,1
271,271,PON2,-0.02225,NPX,Day 1 1h,Day 1 6h,13,14,90,0.981,-0.3841,0.4089,Wilcoxon,two.sided,ns,1
326,326,SUSD1,0.0138,NPX,Day 1 1h,Day 1 6h,13,14,92,0.981,-0.6523,0.7778,Wilcoxon,two.sided,ns,1
97,97,CPB1,-0.01515,NPX,Day 1 1h,Day 1 6h,14,14,97,0.982,-0.3662,0.4809,Wilcoxon,two.sided,ns,1
315,315,SOD1,-0.0072,NPX,Day 1 1h,Day 1 6h,14,14,97,0.982,-0.6637,0.7427,Wilcoxon,two.sided,ns,1
116,116,DDC,0.0127,NPX,Day 1 1h,Day 1 6h,13,13,85,1,-0.5852,0.6655,Wilcoxon,two.sided,ns,1
133,133,ENTPD5,-0.0076,NPX,Day 1 1h,Day 1 6h,13,14,91,1,-0.2575,0.3024,Wilcoxon,two.sided,ns,1
165,165,GRAP2,-0.0737,NPX,Day 1 1h,Day 1 6h,13,13,84,1,-1.1758,1.3098,Wilcoxon,two.sided,ns,1
203,203,KITLG,-0.0006,NPX,Day 1 1h,Day 1 6h,13,13,84,1,-0.4081,0.4257,Wilcoxon,two.sided,ns,1
243,243,NPTXR,-0.0157,NPX,Day 1 1h,Day 1 6h,13,13,84,1,-0.4299,0.4288,Wilcoxon,two.sided,ns,1
299,299,SDC1,-0.0016,NPX,Day 1 1h,Day 1 6h,13,13,84,1,-0.1937,0.4186,Wilcoxon,two.sided,ns,1
349,349,TP53INP1,0.0003,NPX,Day 1 1h,Day 1 6h,13,14,91,1,-0.2682,0.1872,Wilcoxon,two.sided,ns,1
